物品数量,背包容量,算法名称,选择物品数量,总重量,总价值,执行时间(ms),占用空间(MB),选择的物品编号(前50个),是否找到解
60,1000000,回溯法,60,2871.77,33118.78,0.031,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,10000,蛮力法,0,0,0,0,0,,跳过
70,10000,动态规划法,70,3384.45,40428.54,0.421,0.28,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,10000,贪心法,70,3384.45,40428.54,0.021,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,10000,回溯法,70,3384.45,40428.54,0.045,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,100000,蛮力法,0,0,0,0,0,,跳过
70,100000,动态规划法,70,3384.45,40428.54,0.444,0.28,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,100000,贪心法,70,3384.45,40428.54,0.159,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,100000,回溯法,70,3384.45,40428.54,0.037,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,1000000,蛮力法,0,0,0,0,0,,跳过
70,1000000,动态规划法,70,3384.45,40428.54,5.067,2.82,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,1000000,贪心法,70,3384.45,40428.54,0.022,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
70,1000000,回溯法,70,3384.45,40428.54,0.036,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,10000,蛮力法,0,0,0,0,0,,跳过
80,10000,动态规划法,80,3888.86,46006.78,0.552,0.32,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,10000,贪心法,80,3888.86,46006.78,0.017,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,10000,回溯法,80,3888.86,46006.78,0.045,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,100000,蛮力法,0,0,0,0,0,,跳过
80,100000,动态规划法,80,3888.86,46006.78,0.562,0.32,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,100000,贪心法,80,3888.86,46006.78,0.019,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,100000,回溯法,80,3888.86,46006.78,0.047,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,1000000,蛮力法,0,0,0,0,0,,跳过
80,1000000,动态规划法,80,3888.86,46006.78,5.648,3.21,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,1000000,贪心法,80,3888.86,46006.78,0.017,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
80,1000000,回溯法,80,3888.86,46006.78,0.048,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,10000,蛮力法,0,0,0,0,0,,跳过
90,10000,动态规划法,90,4323.11,51252.74,1.013,0.36,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,10000,贪心法,90,4323.11,51252.74,0.022,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,10000,回溯法,90,4323.11,51252.74,0.058,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,100000,蛮力法,0,0,0,0,0,,跳过
90,100000,动态规划法,90,4323.11,51252.74,0.590,0.36,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,100000,贪心法,90,4323.11,51252.74,0.021,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,100000,回溯法,90,4323.11,51252.74,0.053,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,1000000,蛮力法,0,0,0,0,0,,跳过
90,1000000,动态规划法,90,4323.11,51252.74,9.367,3.59,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,1000000,贪心法,90,4323.11,51252.74,0.021,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
90,1000000,回溯法,90,4323.11,51252.74,0.095,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,10000,蛮力法,0,0,0,0,0,,跳过
100,10000,动态规划法,100,4781.39,56205.30,0.686,0.40,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,10000,贪心法,100,4781.39,56205.30,0.027,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,10000,回溯法,100,4781.39,56205.30,0.075,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,100000,蛮力法,0,0,0,0,0,,跳过
100,100000,动态规划法,100,4781.39,56205.30,0.677,0.40,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,100000,贪心法,100,4781.39,56205.30,0.022,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,100000,回溯法,100,4781.39,56205.30,0.198,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,1000000,蛮力法,0,0,0,0,0,,跳过
100,1000000,动态规划法,100,4781.39,56205.30,7.021,3.97,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,1000000,贪心法,100,4781.39,56205.30,0.024,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
100,1000000,回溯法,100,4781.39,56205.30,0.067,0.01,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
125,10000,蛮力法,0,0,0,0,0,,跳过
125,10000,动态规划法,125,5981.71,68338.41,0.859,0.49,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
125,10000,贪心法,125,5981.71,68338.41,0.029,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
125,10000,回溯法,0,0,0,0,0,,跳过
125,100000,蛮力法,0,0,0,0,0,,跳过
125,100000,动态规划法,125,5981.71,68338.41,0.796,0.49,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
125,100000,贪心法,125,5981.71,68338.41,0.028,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
125,100000,回溯法,0,0,0,0,0,,跳过
125,1000000,蛮力法,0,0,0,0,0,,跳过
125,1000000,动态规划法,125,5981.71,68338.41,9.235,4.92,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
125,1000000,贪心法,125,5981.71,68338.41,0.030,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
125,1000000,回溯法,0,0,0,0,0,,跳过
150,10000,蛮力法,0,0,0,0,0,,跳过
150,10000,动态规划法,150,7178.01,79962.24,1.156,0.59,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
150,10000,贪心法,150,7178.01,79962.24,0.054,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
150,10000,回溯法,0,0,0,0,0,,跳过
150,100000,蛮力法,0,0,0,0,0,,跳过
150,100000,动态规划法,150,7178.01,79962.24,1.060,0.59,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
150,100000,贪心法,150,7178.01,79962.24,0.030,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
150,100000,回溯法,0,0,0,0,0,,跳过
150,1000000,蛮力法,0,0,0,0,0,,跳过
150,1000000,动态规划法,150,7178.01,79962.24,11.883,5.88,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
150,1000000,贪心法,150,7178.01,79962.24,0.036,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
150,1000000,回溯法,0,0,0,0,0,,跳过
175,10000,蛮力法,0,0,0,0,0,,跳过
175,10000,动态规划法,175,8566.26,95705.79,1.207,0.68,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
175,10000,贪心法,175,8566.26,95705.79,0.045,0.00,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
175,10000,回溯法,0,0,0,0,0,,跳过
175,100000,蛮力法,0,0,0,0,0,,跳过
