物品数量,背包容量,算法名称,选择物品数量,总重量,总价值,执行时间(ms),占用空间(MB),选择的物品编号(前50个),是否找到解
1000,100000,回溯法,0,0,0,0,0,,跳过
1000,1000000,蛮力法,0,0,0,0,0,,跳过
1000,1000000,动态规划法,1000,49063.12,545121.16,75.668,38.31,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
1000,1000000,贪心法,1000,49063.12,545121.16,0.225,0.02,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
1000,1000000,回溯法,0,0,0,0,0,,跳过
2000,10000,蛮力法,0,0,0,0,0,,跳过
2000,10000,动态规划法,573,11337.80,385639.89,14.428,7.67,8;11;18;19;20;23;24;26;28;30;31;34;38;42;45;46;54;57;60;64;65;66;67;69;72;78;79;82;85;87;89;97;99;102;106;108;113;115;116;117;122;129;133;137;144;146;148;155;160;162,是
2000,10000,贪心法,540,9997.50,363706.25,0.746,0.04,1;8;11;18;19;20;23;24;26;28;30;31;34;38;42;45;46;54;57;60;64;65;66;67;69;72;78;79;82;85;87;89;93;97;99;102;106;108;113;115;117;122;133;137;143;144;146;148;155;160,是
2000,10000,回溯法,0,0,0,0,0,,跳过
2000,100000,蛮力法,0,0,0,0,0,,跳过
2000,100000,动态规划法,1000,50924.43,775064.73,16.661,7.67,2;6;8;10;11;12;17;18;19;20;21;22;24;26;28;29;30;32;34;36;37;38;39;43;45;46;49;51;53;54;56;57;60;61;62;64;65;66;67;68;70;72;73;75;76;80;82;85;88;90,是
2000,100000,贪心法,1976,99998.96,1090329.58,0.507,0.04,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
2000,100000,回溯法,0,0,0,0,0,,跳过
2000,1000000,蛮力法,0,0,0,0,0,,跳过
2000,1000000,动态规划法,2000,102163.60,1093165.72,155.942,76.47,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
2000,1000000,贪心法,2000,102163.60,1093165.72,0.498,0.04,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
2000,1000000,回溯法,0,0,0,0,0,,跳过
3000,10000,蛮力法,0,0,0,0,0,,跳过
3000,10000,动态规划法,690,11313.51,469758.59,25.231,11.49,8;11;18;19;20;23;24;26;28;30;31;34;38;45;46;54;57;60;64;67;69;72;78;79;82;85;87;97;99;106;108;113;116;117;122;133;137;144;146;148;160;162;167;170;180;181;185;187;188;190,是
3000,10000,贪心法,663,9997.76,447337.75,0.746,0.06,1;8;11;18;19;20;23;24;26;28;30;31;34;38;42;45;46;54;57;60;64;67;69;72;78;79;82;85;87;89;97;99;106;108;113;115;117;122;133;143;144;148;160;162;167;170;180;181;185;187,是
3000,10000,回溯法,0,0,0,0,0,,跳过
3000,100000,蛮力法,0,0,0,0,0,,跳过
3000,100000,动态规划法,1000,51034.95,851269.55,23.066,11.49,2;6;8;11;12;18;19;21;24;28;30;32;36;37;38;43;45;46;49;56;57;60;62;64;65;66;67;68;70;75;76;80;82;85;88;90;92;97;100;102;110;114;115;122;127;133;141;142;144;147,是
3000,100000,贪心法,2275,99986.78,1448722.99,0.841,0.06,1;2;3;4;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;25;26;28;29;30;31;32;34;36;37;38;39;40;41;42;43;45;46;49;51;53;54;56;57;59;60;61;62,是
3000,100000,回溯法,0,0,0,0,0,,跳过
3000,1000000,蛮力法,0,0,0,0,0,,跳过
3000,1000000,动态规划法,3000,153012.89,1646981.59,245.886,114.63,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
3000,1000000,贪心法,3000,153012.89,1646981.59,1.358,0.06,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
3000,1000000,回溯法,0,0,0,0,0,,跳过
4000,10000,蛮力法,0,0,0,0,0,,跳过
4000,10000,动态规划法,767,11196.22,540995.18,43.277,15.32,8;11;18;20;24;26;28;34;38;45;46;54;57;60;64;67;69;72;78;79;82;85;87;97;108;113;116;117;122;133;144;148;160;162;167;180;181;185;187;188;190;195;199;201;209;213;225;230;232;233,是
4000,10000,贪心法,765,9995.90,522226.39,6.430,0.08,1;8;11;18;24;26;28;34;38;42;45;46;54;57;60;64;67;69;72;78;79;82;85;87;89;97;99;108;113;117;122;133;144;148;160;162;167;170;180;181;185;187;188;190;195;201;213;225;230;233,是
4000,10000,回溯法,0,0,0,0,0,,跳过
4000,100000,蛮力法,0,0,0,0,0,,跳过
4000,100000,动态规划法,1000,49838.86,889238.85,28.029,15.32,2;6;11;12;18;19;21;24;28;30;32;36;43;45;46;49;57;62;64;65;66;67;70;75;76;85;88;90;97;100;102;110;114;115;122;142;144;147;148;151;155;158;160;161;164;167;169;173;174;175,是
4000,100000,贪心法,2550,99991.99,1700121.86,0.815,0.08,1;2;3;4;6;8;10;11;12;13;14;15;18;19;20;21;23;24;26;28;30;31;32;34;36;37;38;41;42;43;45;46;49;53;54;56;57;60;62;64;65;66;67;68;69;70;72;73;75;76,是
4000,100000,回溯法,0,0,0,0,0,,跳过
4000,1000000,蛮力法,0,0,0,0,0,,跳过
4000,1000000,动态规划法,4000,202682.04,2193423.29,368.877,152.79,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
4000,1000000,贪心法,4000,202682.04,2193423.29,1.117,0.08,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
4000,1000000,回溯法,0,0,0,0,0,,跳过
5000,10000,蛮力法,0,0,0,0,0,,跳过
5000,10000,动态规划法,827,11068.29,596432.85,39.435,19.15,8;11;18;24;28;34;38;45;46;54;57;60;64;67;69;72;78;79;82;85;97;108;113;117;122;133;144;160;162;167;180;181;185;187;188;190;201;213;225;230;232;233;234;245;249;250;256;260;285;292,是
5000,10000,贪心法,849,9997.67,582659.20,1.310,0.10,1;8;18;24;26;28;34;38;45;46;54;57;60;64;67;69;72;78;79;82;85;89;97;99;108;113;117;133;144;160;167;170;180;181;185;187;188;190;195;201;213;225;230;233;245;249;250;256;260;267,是
5000,10000,回溯法,0,0,0,0,0,,跳过
5000,100000,蛮力法,0,0,0,0,0,,跳过
5000,100000,动态规划法,1000,50582.88,910801.14,37.200,19.15,2;6;11;18;19;21;24;28;30;32;36;43;46;49;57;62;65;66;70;75;85;88;90;97;102;110;114;115;122;144;147;148;151;155;158;160;161;164;169;173;175;180;185;187;198;201;203;213;216;231,是
5000,100000,贪心法,2824,99993.72,1913122.12,1.239,0.10,1;2;4;8;10;11;13;14;15;18;19;20;21;23;24;26;28;30;31;32;34;36;37;38;41;42;43;45;46;53;54;57;60;62;64;65;66;67;68;69;70;72;75;76;78;79;82;85;86;87,是
5000,100000,回溯法,0,0,0,0,0,,跳过
5000,1000000,蛮力法,0,0,0,0,0,,跳过
5000,1000000,动态规划法,5000,252413.31,2756297.42,393.366,190.94,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
5000,1000000,贪心法,5000,252413.31,2756297.42,1.554,0.10,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50,是
5000,1000000,回溯法,0,0,0,0,0,,跳过
